Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2022,Sa 8 Oct,8/10/2022,Young Lions ,4 - 4,4,4,D, Khalsa,+,8,+,0
2022,Su 9 Oct,9/10/2022,Geylang ,3 - 3,3,3,D, Tanjong Pagar,+,6,+,0
2022,Fr 14 Oct,14/10/2022,Khalsa ,2 - 4,2,4,A, Geylang,+,6,+,2
2022,Fr 14 Oct,14/10/2022,Tanjong Pagar ,1 - 3,1,3,A, Lion City,+,4,+,2
2022,Sa 15 Oct,15/10/2022,Tampines Rovers ,5 - 3,5,3,H, A. Niigata (S),+,8,+,2
2022,Sa 15 Oct,15/10/2022,Young Lions ,3 - 5,3,5,A, Hougang,+,8,+,2
2022,Th 20 Oct,20/10/2022,Hougang ,4 - 1,4,1,H, Khalsa,+,5,+,3
2022,Th 20 Oct,20/10/2022,Tampines Rovers ,4 - 3,4,3,H, Tanjong Pagar,+,7,+,1
2022,Fr 21 Oct,21/10/2022,Geylang ,1 - 1,1,1,D, A. Niigata (S),-,2,+,0
2022,Fr 21 Oct,21/10/2022,Lion City ,2 - 1,2,1,H, Young Lions,+,3,+,1
2023,Sa 25 Feb,25/2/2023,A. Niigata (S) ,3 - 0,3,0,H, Young Lions,+,3,-,3
2023,Sa 25 Feb,25/2/2023,Tampines Rovers ,1 - 1,1,1,D, Geylang,-,2,+,0
2023,Su 26 Feb,26/2/2023,Khalsa ,2 - 3,2,3,A, Hougang,+,5,+,1
2023,Tu 28 Feb,28/2/2023,Geylang ,4 - 2,4,2,H, Young Lions,+,6,+,2
2023,Fr 3 Mar,3/3/2023,Lion City ,3 - 1,3,1,H, DPMM FC,+,4,+,2
2023,Fr 3 Mar,3/3/2023,Tanjong Pagar ,0 - 2,0,2,A, Tampines Rovers,-,2,-,2
2023,Sa 4 Mar,4/3/2023,Khalsa ,3 - 1,3,1,H, Young Lions,+,4,+,2
2023,Su 5 Mar,5/3/2023,Geylang ,2 - 1,2,1,H, Hougang,+,3,+,1
